scan_id,measurement_name,measurement_value,landmark_name,landmark_coordinates_x,landmark_coordinates_y,landmark_coordinates_z,process_date,load_filename,load_timestamp,version,function_type,year,month
9dc847e9-d0d2-4baa-8236-7c08dbcf081e,HipWidestBack_circumference,95.21,HipWidestBack,12.32491291,525.07309,36.54516425,12-03-2025,scanId-9dc847e9-d0d2-4baa-8236-7c08dbcf081e-core-measures-version-2.4.8_11_03_2025.json,36:14.9,2.4.8,landmarks,2025,3
9dc847e9-d0d2-4baa-8236-7c08dbcf081e,NeckBase_circumference,88.41,NeckBase,-48.81277506,1209.28121391,22.55323806,12-03-2025,scanId-9dc847e9-d0d2-4baa-8236-7c08dbcf081e-core-measures-version-2.4.8_11_03_2025.json,36:14.9,2.4.8,contours,2025,3
9dc847e9-d0d2-4baa-8236-7c08dbcf081e,HeadCircumRight_circumference,61.31,HeadCircumRight,18.20476755,1272.54575224,9.54249209,12-03-2025,scanId-9dc847e9-d0d2-4baa-8236-7c08dbcf081e-core-measures-version-2.4.8_11_03_2025.json,36:14.9,2.4.8,contours,2025,3
9dc847e9-d0d2-4baa-8236-7c08dbcf081e,WaistBack_circumference,113.03,WaistBack,10.1259516,1210.62638369,156.24087754,12-03-2025,scanId-9dc847e9-d0d2-4baa-8236-7c08dbcf081e-core-measures-version-2.4.8_11_03_2025.json,36:14.9,2.4.8,landmarks,2025,3
9dc847e9-d0d2-4baa-8236-7c08dbcf081e,ShoulderLeft_circumference,111.46,ShoulderLeft,-6.78983236,1272.34119338,-131.28766483,12-03-2025,scanId-9dc847e9-d0d2-4baa-8236-7c08dbcf081e-core-measures-version-2.4.8_11_03_2025.json,36:14.9,2.4.8,landmarks,2025,3
9dc847e9-d0d2-4baa-8236-7c08dbcf081e,ChestFront_circumference,30.05,ChestFront,-6.29321454,1497.11152941,-61.23018081,12-03-2025,scanId-9dc847e9-d0d2-4baa-8236-7c08dbcf081e-core-measures-version-2.4.8_11_03_2025.json,36:14.9,2.4.8,measurements,2025,3
f8374730-45ab-4d57-969f-a83892673826,HeadCircumRight_circumference,55.6,HeadCircumRight,-42.24575733,792.28849695,109.66138248,09-07-2024,scanId-f8374730-45ab-4d57-969f-a83892673826-core-measures-version-2.4.8_08_07_2024.json,46:23.2,2.4.8,measurements,2024,7
f8374730-45ab-4d57-969f-a83892673826,WaistFront_circumference,88.79,WaistFront,40.24841909,1377.75631078,-60.21387736,09-07-2024,scanId-f8374730-45ab-4d57-969f-a83892673826-core-measures-version-2.4.8_08_07_2024.json,46:23.2,2.4.8,landmarks,2024,7
f8374730-45ab-4d57-969f-a83892673826,ShoulderRight_circumference,105.2,ShoulderRight,45.98716445,1301.31203917,-162.50167576,09-07-2024,scanId-f8374730-45ab-4d57-969f-a83892673826-core-measures-version-2.4.8_08_07_2024.json,46:23.2,2.4.8,measurements,2024,7
f8374730-45ab-4d57-969f-a83892673826,NeckBase_circumference,34.98,NeckBase,45.68626035,628.64679826,138.71941069,09-07-2024,scanId-f8374730-45ab-4d57-969f-a83892673826-core-measures-version-2.4.8_08_07_2024.json,46:23.2,2.4.8,contours,2024,7
f8374730-45ab-4d57-969f-a83892673826,WaistBack_circumference,59.06,WaistBack,10.63729712,1328.54811954,30.85544692,09-07-2024,scanId-f8374730-45ab-4d57-969f-a83892673826-core-measures-version-2.4.8_08_07_2024.json,46:23.2,2.4.8,landmarks,2024,7
f8374730-45ab-4d57-969f-a83892673826,WaistBack_circumference,37.98,WaistBack,-2.74043066,1685.80649946,-186.29618113,09-07-2024,scanId-f8374730-45ab-4d57-969f-a83892673826-core-measures-version-2.4.8_08_07_2024.json,46:23.2,2.4.8,measurements,2024,7
f8374730-45ab-4d57-969f-a83892673826,ShoulderLeft_circumference,67.02,ShoulderLeft,40.2229099,783.26107752,-130.95957425,09-07-2024,scanId-f8374730-45ab-4d57-969f-a83892673826-core-measures-version-2.4.8_08_07_2024.json,46:23.2,2.4.8,landmarks,2024,7
f8374730-45ab-4d57-969f-a83892673826,ShoulderRight_circumference,110.56,ShoulderRight,9.30882496,1329.00706241,173.25184154,09-07-2024,scanId-f8374730-45ab-4d57-969f-a83892673826-core-measures-version-2.4.8_08_07_2024.json,46:23.2,2.4.8,contours,2024,7
f8374730-45ab-4d57-969f-a83892673826,ShoulderRight_circumference,105.04,ShoulderRight,34.43058141,620.06572259,31.36631397,09-07-2024,scanId-f8374730-45ab-4d57-969f-a83892673826-core-measures-version-2.4.8_08_07_2024.json,46:23.2,2.4.8,landmarks,2024,7
25b2e41c-5dc8-4b0f-a55f-444885dde512,HeadCircumRight_circumference,77.54,HeadCircumRight,20.7551175,1359.10965785,-150.22300082,14-07-2025,scanId-25b2e41c-5dc8-4b0f-a55f-444885dde512-core-measures-version-2.4.8_13_07_2025.json,18:14.2,2.4.8,contours,2025,7
25b2e41c-5dc8-4b0f-a55f-444885dde512,ShoulderRight_circumference,35.84,ShoulderRight,11.19271418,512.32437703,22.93678166,14-07-2025,scanId-25b2e41c-5dc8-4b0f-a55f-444885dde512-core-measures-version-2.4.8_13_07_2025.json,18:14.2,2.4.8,landmarks,2025,7
25b2e41c-5dc8-4b0f-a55f-444885dde512,NeckBase_circumference,47.21,NeckBase,42.75538891,1487.95158187,167.7136909,14-07-2025,scanId-25b2e41c-5dc8-4b0f-a55f-444885dde512-core-measures-version-2.4.8_13_07_2025.json,18:14.2,2.4.8,measurements,2025,7
25b2e41c-5dc8-4b0f-a55f-444885dde512,NeckBase_circumference,39.99,NeckBase,23.05519586,1090.16745376,-89.18038206,14-07-2025,scanId-25b2e41c-5dc8-4b0f-a55f-444885dde512-core-measures-version-2.4.8_13_07_2025.json,18:14.2,2.4.8,measurements,2025,7
25b2e41c-5dc8-4b0f-a55f-444885dde512,ChestFront_circumference,46.41,ChestFront,28.44548214,1382.11312869,-156.88007743,14-07-2025,scanId-25b2e41c-5dc8-4b0f-a55f-444885dde512-core-measures-version-2.4.8_13_07_2025.json,18:14.2,2.4.8,landmarks,2025,7
25b2e41c-5dc8-4b0f-a55f-444885dde512,WaistBack_circumference,78.19,WaistBack,32.74235832,822.42168965,165.79469697,14-07-2025,scanId-25b2e41c-5dc8-4b0f-a55f-444885dde512-core-measures-version-2.4.8_13_07_2025.json,18:14.2,2.4.8,contours,2025,7
